model,var,METE_mean,METE_CI_lower,METE_CI_upper,METimE_mean,METimE_CI_lower,METimE_CI_upper
a,0.0,114.98,114.16,115.8,104.86,103.59,106.13
a,0.05,115.83,114.97,116.68,108.46,107.2,109.71
a,0.1,112.64,111.49,113.79,102.69,101.09,104.29
b,0.0,114.98,114.01,115.96,102.01,100.9,103.12
b,0.05,115.97,114.94,117.0,100.59,99.17,102.02
b,0.1,117.79,116.62,118.96,97.59,95.61,99.57
c,0.0,91.75,90.95,92.55,89.14,88.18,90.11
c,0.05,94.18,93.43,94.93,89.53,88.56,90.5
c,0.1,90.98,90.11,91.84,81.78,80.65,82.91
d,0.0,120.31,119.34,121.28,110.94,109.46,112.42
d,0.05,121.52,120.5,122.53,115.42,113.99,116.85
d,0.1,122.05,120.89,123.2,112.96,111.37,114.55
e,0.0,114.81,113.82,115.79,102.05,100.9,103.19
e,0.05,115.66,114.63,116.69,98.57,97.17,99.97
e,0.1,117.08,115.9,118.25,98.95,97.16,100.73
f,0.0,115.79,114.94,116.63,107.58,106.39,108.77
f,0.05,117.37,116.46,118.28,110.01,108.64,111.37
f,0.1,116.37,115.32,117.41,100.02,98.27,101.78
